Date,"Close Price"
"2018-05-18 00:00:00",8240.72
"2018-05-19 00:00:00",8234.15
"2018-05-20 00:00:00",8520.81
"2018-05-21 00:00:00",8395.23
"2018-05-22 00:00:00",7983.52
"2018-05-23 00:00:00",7502.56
"2018-05-24 00:00:00",7578.69
"2018-05-25 00:00:00",7460.69
"2018-05-26 00:00:00",7334.16
"2018-05-27 00:00:00",7344.97
"2018-05-28 00:00:00",7105.67
"2018-05-29 00:00:00",7460.58
"2018-05-30 00:00:00",7375.67
"2018-05-31 00:00:00",7487.19
"2018-06-01 00:00:00",7518.24
"2018-06-02 00:00:00",7636.19
"2018-06-03 00:00:00",7711.36
"2018-06-04 00:00:00",7490.59
"2018-06-05 00:00:00",7616.89
"2018-06-06 00:00:00",7655.98
"2018-06-07 00:00:00",7688
"2018-06-08 00:00:00",7616.1
"2018-06-09 00:00:00",7497.34
"2018-06-10 00:00:00",6765.8
"2018-06-11 00:00:00",6877.18
"2018-06-12 00:00:00",6548.33
"2018-06-13 00:00:00",6299.52
"2018-06-14 00:00:00",6637.74
"2018-06-15 00:00:00",6410.72
"2018-06-16 00:00:00",6485.87
"2018-06-17 00:00:00",6443.67
"2018-06-18 00:00:00",6709.48
"2018-06-19 00:00:00",6737.41
"2018-06-20 00:00:00",6758.38
"2018-06-21 00:00:00",6717.2
"2018-06-22 00:00:00",6053.9
"2018-06-23 00:00:00",6170.56
"2018-06-24 00:00:00",6150.19
"2018-06-25 00:00:00",6247.47
"2018-06-26 00:00:00",6074.92
"2018-06-27 00:00:00",6132.56
"2018-06-28 00:00:00",5848.26
"2018-06-29 00:00:00",6203.9
"2018-06-30 00:00:00",6387.31
"2018-07-01 00:00:00",6347.86
"2018-07-02 00:00:00",6613.27
"2018-07-03 00:00:00",6504.93
"2018-07-04 00:00:00",6584.77
"2018-07-05 00:00:00",6531.2
"2018-07-06 00:00:00",6600.99
"2018-07-07 00:00:00",6755.56
"2018-07-08 00:00:00",6704.18
"2018-07-09 00:00:00",6664.21
"2018-07-10 00:00:00",6302.49
"2018-07-11 00:00:00",6381.87
"2018-07-12 00:00:00",6245.63
"2018-07-13 00:00:00",6217.61
"2018-07-14 00:00:00",6247.23
"2018-07-15 00:00:00",6349.04
"2018-07-16 00:00:00",6726.4
"2018-07-17 00:00:00",7314.94
"2018-07-18 08:06:00",7434.81

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
