Date,Close Price
2018/3/21 0:00,8943.1
2018/3/21 1:00,8971.61
2018/3/21 2:00,8962.89
2018/3/21 3:00,9024.28
2018/3/21 4:00,9083.12
2018/3/21 5:00,9080.33
2018/3/21 6:00,9079.54
2018/3/21 7:00,8934.56
2018/3/21 8:00,8962.71
2018/3/21 9:00,9055.83
2018/3/21 10:00,9065.66
2018/3/21 11:00,9075.62
2018/3/21 12:00,9024.95
2018/3/21 13:00,9035.08
2018/3/21 14:00,9057.39
2018/3/21 15:00,9069.42
2018/3/21 16:00,8874.93
2018/3/21 17:00,8864.61
2018/3/21 18:00,8884.41
2018/3/21 19:00,8883.55
2018/3/21 20:00,8880.59
2018/3/21 21:00,8919.96
2018/3/21 22:00,8848.69
2018/3/21 23:00,8900.73
2018/3/22 0:00,9035.75
2018/3/22 1:00,9042.77
2018/3/22 2:00,9043.73
2018/3/22 3:00,9023.35
2018/3/22 4:00,9027.77
2018/3/22 5:00,9010.36
2018/3/22 6:00,9015.41
2018/3/22 7:00,8968.46
2018/3/22 8:00,8998.52
2018/3/22 9:00,8801.17
2018/3/22 10:00,8722.77
2018/3/22 11:00,8650.72
2018/3/22 12:00,8714.25
2018/3/22 13:00,8605.77
2018/3/22 14:00,8497.66
2018/3/22 15:00,8607.22
2018/3/22 16:00,8606.89
2018/3/22 17:00,8668.99
2018/3/22 18:00,8660.16
2018/3/22 19:00,8610.54
2018/3/22 20:00,8602.02
2018/3/22 21:00,8613.15
2018/3/22 22:00,8691.93
2018/3/22 23:00,8710.21
2018/3/23 0:00,8660.35
2018/3/23 1:00,8608.76
2018/3/23 2:00,8422.79
2018/3/23 3:00,8407.91
2018/3/23 4:00,8414.45
2018/3/23 5:00,8402.11
2018/3/23 6:00,8383.7
2018/3/23 7:00,8395.52
2018/3/23 8:00,8484.74
2018/3/23 9:00,8517.03
2018/3/23 10:00,8485.48
2018/3/23 11:00,8515.17
2018/3/23 12:00,8317.97
2018/3/23 13:00,8365.88
2018/3/23 14:00,8580.13
2018/3/23 15:00,8633.57
2018/3/23 16:00,8634.26
2018/3/23 17:00,8625.04
2018/3/23 18:00,8619.73
2018/3/23 19:00,8630.04
2018/3/23 20:00,8620.4
2018/3/23 21:00,8654.99
2018/3/23 22:00,8653.75
2018/3/23 23:00,8913.24
2018/3/24 0:00,8908.66
2018/3/24 1:00,8846.97
2018/3/24 2:00,8874.68
2018/3/24 3:00,8878.17
2018/3/24 4:00,8942.11
2018/3/24 5:00,8845.79
2018/3/24 6:00,8878.48
2018/3/24 7:00,8922.56
2018/3/24 8:00,8886.06
2018/3/24 9:00,8891.3
2018/3/24 10:00,8774.5
2018/3/24 11:00,8732.77
