Date,Open,High,Low,Close
"2017-04-01 00:00:00",1079.75,1103.53,1069.78,1089.51
"2017-04-02 00:00:00",1089.51,1111.24,1077.59,1098.78
"2017-04-03 00:00:00",1098.78,1155.71,1098.77,1147.63
"2017-04-04 00:00:00",1147.63,1161.36,1125.83,1143.75
"2017-04-05 00:00:00",1143.75,1145.82,1113.08,1135
"2017-04-06 00:00:00",1135,1202.82,1135,1190.6
"2017-04-07 00:00:00",1190.6,1202.04,1176.37,1193.02
"2017-04-08 00:00:00",1193.02,1196.94,1170.58,1184.82
"2017-04-09 00:00:00",1184.82,1218.24,1178.4,1210.05
"2017-04-10 00:00:00",1210.05,1219.06,1202.78,1213.34
"2017-04-11 00:00:00",1213.34,1232.15,1204.36,1224.77
"2017-04-12 00:00:00",1224.77,1228.26,1213.65,1216.5
"2017-04-13 00:00:00",1216.5,1222.26,1154.9,1178.53
"2017-04-14 00:00:00",1178.53,1197.39,1169.89,1183.44
"2017-04-15 00:00:00",1183.44,1199.71,1178.35,1180.7
"2017-04-16 00:00:00",1180.7,1190.96,1178.09,1184.79
"2017-04-17 00:00:00",1184.79,1206.9,1181.78,1203.73
"2017-04-18 00:00:00",1203.73,1222.36,1203.39,1217.6
"2017-04-19 00:00:00",1217.6,1228.5,1209.18,1226.94
"2017-04-20 00:00:00",1226.94,1262.85,1220.45,1255.4
"2017-04-21 00:00:00",1255.4,1275.05,1247.79,1257.13
"2017-04-22 00:00:00",1257.13,1259.06,1220,1244.37
"2017-04-23 00:00:00",1244.37,1250.45,1230.68,1248.22
"2017-04-24 00:00:00",1248.22,1250.47,1238.11,1248.32
"2017-04-25 00:00:00",1248.32,1270.73,1248.19,1263.54
"2017-04-26 00:00:00",1263.54,1307.28,1263.49,1284.84
"2017-04-27 00:00:00",1284.84,1335.56,1283.31,1329.19
"2017-04-28 00:00:00",1329.19,1343.59,1282.93,1320.05
"2017-04-29 00:00:00",1320.05,1333.37,1311.25,1327.04
"2017-04-30 00:00:00",1327.04,1352.15,1308.74,1347.96
"2017-05-01 00:00:00",1347.96,1426.63,1346.27,1402.08
"2017-05-02 00:00:00",1402.08,1466.88,1397.06,1443.68
"2017-05-03 00:00:00",1443.68,1494.53,1431.18,1492
"2017-05-04 00:00:00",1492,1594.63,1442.73,1515.63
"2017-05-05 00:00:00",1515.63,1591.97,1491.67,1512.21
"2017-05-06 00:00:00",1512.21,1552.44,1512.11,1548.29
"2017-05-07 00:00:00",1548.29,1560.01,1525.89,1555.47
"2017-05-08 00:00:00",1555.47,1639.43,1555.47,1639.32
"2017-05-09 00:00:00",1639.32,1753.59,1615.63,1706.93
"2017-05-10 00:00:00",1706.93,1782.89,1690.4,1756.8
"2017-05-11 00:00:00",1756.8,1848.75,1732.13,1807.37
"2017-05-12 00:00:00",1807.37,1808.55,1644.64,1676.99
"2017-05-13 00:00:00",1676.99,1759.96,1587.69,1759.96
"2017-05-14 00:00:00",1759.96,1799.65,1740.2,1772.42
"2017-05-15 00:00:00",1772.42,1773.49,1652.16,1697.38
"2017-05-16 00:00:00",1697.38,1737.34,1657.11,1718.2
"2017-05-17 00:00:00",1718.2,1823.55,1688.49,1802.16
"2017-05-18 00:00:00",1802.16,1893.63,1794.92,1887.33
"2017-05-19 00:00:00",1887.33,1973.01,1887.15,1968.1
"2017-05-20 00:00:00",1968.1,2061.88,1964.97,2051.73
"2017-05-21 00:00:00",2051.73,2092.54,2001.14,2055.62
"2017-05-22 00:00:00",2055.62,2289.21,2045.79,2139.03
"2017-05-23 00:00:00",2139.03,2297.56,2134.64,2291.48
"2017-05-24 00:00:00",2291.48,2524.83,2291.48,2476.3
"2017-05-25 00:00:00",2476.3,2791.69,2298.49,2357.5
"2017-05-26 00:00:00",2357.5,2639.9,2067.1,2247.48
"2017-05-27 00:00:00",2247.48,2329.37,1908.99,2106.31
"2017-05-28 00:00:00",2106.31,2320.82,2106.31,2207.58
"2017-05-29 00:00:00",2207.58,2339.72,2135.61,2289.87
"2017-05-30 00:00:00",2289.87,2329.64,2152.92,2197.23
"2017-05-31 00:00:00",2197.23,2351.24,2162.23,2330.23
"2017-06-01 00:00:00",2330.23,2489.98,2330.23,2452.18
"2017-06-02 00:00:00",2452.18,2517.41,2418.32,2517.41
"2017-06-03 00:00:00",2517.41,2593.64,2448.04,2555.65
"2017-06-04 00:00:00",2555.65,2577.83,2494.29,2552.81
"2017-06-05 00:00:00",2552.81,2736.59,2551.55,2736.59
"2017-06-06 00:00:00",2736.59,2967.48,2732.99,2914.08
"2017-06-07 00:00:00",2914.08,2922.7,2629.53,2694.22
"2017-06-08 00:00:00",2694.22,2828.48,2625.08,2825.03
"2017-06-09 00:00:00",2825.03,2874.7,2794.06,2826.7
"2017-06-10 00:00:00",2826.7,2942.46,2821.52,2942.34
"2017-06-11 00:00:00",2942.34,3025.47,2894.01,3018.54
"2017-06-12 00:00:00",3018.54,3020.27,2525.24,2682.59
"2017-06-13 00:00:00",2682.59,2802.95,2678.76,2738.93
"2017-06-14 00:00:00",2738.93,2828.88,2385.03,2494.48
"2017-06-15 00:00:00",2494.48,2553.68,2185.96,2456.92
"2017-06-16 00:00:00",2456.92,2559.19,2366.49,2528.1
"2017-06-17 00:00:00",2528.1,2707.06,2462.16,2664
"2017-06-18 00:00:00",2664,2689.54,2522.32,2576.17
"2017-06-19 00:00:00",2576.17,2642.28,2555.1,2641.66
"2017-06-20 00:00:00",2641.66,2822.63,2636.06,2778.83
"2017-06-21 00:00:00",2778.83,2828.94,2661.42,2712.16
"2017-06-22 00:00:00",2712.16,2768.76,2637.22,2740.79
"2017-06-23 00:00:00",2740.79,2813.31,2709.76,2738.22
"2017-06-24 00:00:00",2738.22,2790.33,2564,2619.12
"2017-06-25 00:00:00",2619.12,2713.9,2495.97,2594.45
"2017-06-26 00:00:00",2594.45,2658,2387.64,2485.36
"2017-06-27 00:00:00",2485.36,2593.17,2332.6,2593.17
"2017-06-28 00:00:00",2593.17,2619.24,2490.21,2584.56
"2017-06-29 00:00:00",2584.56,2623.31,2530.12,2561.56
"2017-06-30 00:00:00",2561.56,2632.11,2485.55,2499.98
"2017-07-01 00:00:00",2499.98,2547.05,2442.83,2460.2
"2017-07-02 00:00:00",2460.2,2541.99,2396.01,2529.78
"2017-07-03 00:00:00",2529.78,2620.29,2504.36,2581.07
"2017-07-04 00:00:00",2581.07,2659.79,2580.7,2625.07
"2017-07-05 00:00:00",2625.07,2648.68,2560.85,2629.27
"2017-07-06 00:00:00",2629.27,2638.1,2591.98,2619.11
"2017-07-07 00:00:00",2619.11,2622.19,2492.33,2521.24
"2017-07-08 00:00:00",2521.24,2590.55,2482.77,2579.93
"2017-07-09 00:00:00",2579.93,2590.75,2522.24,2525.67
"2017-07-10 00:00:00",2525.67,2544.96,2314.08,2371.96
"2017-07-11 00:00:00",2371.96,2428.16,2292.84,2332.19
"2017-07-12 00:00:00",2332.19,2438.48,2272.32,2423.16
"2017-07-13 00:00:00",2423.16,2450.99,2336.67,2364.52
"2017-07-14 00:00:00",2364.52,2376.43,2171.81,2232.65
"2017-07-15 00:00:00",2232.65,2238.66,1990.69,1993.26
"2017-07-16 00:00:00",1993.26,2073.79,1836.92,1938.94
